model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,106.8,0.0,-73.94,1.80,0.13,428
dqn,TRAIN,1,111.1,0.0,-77.94,1.85,0.13,440
dqn,TRAIN,2,103.4,6.4,-62.96,1.53,0.11,460
dqn,TRAIN,3,85.6,7.4,-26.70,0.87,0.07,460
dqn,TRAIN,4,77.8,8.0,-20.65,0.63,0.06,460
dqn,TRAIN,5,76.0,7.4,-20.06,0.60,0.06,460
dqn,TRAIN,6,75.7,6.3,-18.16,0.53,0.05,465
dqn,TRAIN,7,76.2,5.7,-19.39,0.58,0.05,464
dqn,TRAIN,8,74.5,5.3,-18.45,0.53,0.05,467
dqn,TRAIN,9,74.3,5.2,-17.99,0.52,0.05,463
dqn,TRAIN,10,73.9,4.8,-17.23,0.49,0.05,464
dqn,TRAIN,11,73.7,4.6,-17.13,0.49,0.05,465
dqn,TRAIN,12,73.4,4.5,-16.21,0.46,0.05,463
dqn,TRAIN,13,74.8,4.2,-17.41,0.51,0.05,466
dqn,TRAIN,14,74.3,4.0,-17.72,0.51,0.05,462
dqn,TRAIN,15,73.2,3.5,-15.79,0.46,0.04,463
dqn,TRAIN,16,73.8,3.2,-17.25,0.49,0.05,466
dqn,TRAIN,17,73.0,3.0,-15.80,0.45,0.05,465
dqn,TRAIN,18,73.4,2.8,-16.33,0.45,0.05,465
dqn,TRAIN,19,73.0,2.6,-16.06,0.45,0.04,466
