model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,145.8,3.1,-25.47,0.73,0.20,4907
dqn,TRAIN,1,136.0,2.4,-18.25,0.52,0.18,4907
dqn,TRAIN,2,134.2,2.1,-16.97,0.49,0.17,4904
dqn,TRAIN,3,134.1,2.0,-16.52,0.48,0.17,4899
dqn,TRAIN,4,134.5,2.0,-17.14,0.49,0.18,4902
dqn,TRAIN,5,133.9,2.0,-16.56,0.47,0.17,4904
dqn,TRAIN,6,134.3,1.9,-16.65,0.47,0.17,4903
dqn,TRAIN,7,135.3,1.9,-16.94,0.49,0.18,4902
dqn,TRAIN,8,134.4,2.0,-17.22,0.49,0.18,4900
dqn,TRAIN,9,134.2,2.0,-16.10,0.47,0.17,4901
dqn,TRAIN,10,135.2,2.1,-17.24,0.51,0.17,4904
dqn,TRAIN,11,134.6,2.3,-16.95,0.49,0.17,4899
dqn,TRAIN,12,134.3,2.1,-16.40,0.48,0.17,4906
dqn,TRAIN,13,134.8,1.9,-17.29,0.50,0.17,4904
dqn,TRAIN,14,134.9,2.2,-17.60,0.51,0.18,4906
dqn,TRAIN,15,136.4,2.4,-18.07,0.52,0.18,4903
dqn,TRAIN,16,135.4,2.1,-17.51,0.51,0.18,4905
dqn,TRAIN,17,135.4,2.2,-18.00,0.52,0.18,4901
dqn,TRAIN,18,135.7,2.1,-17.42,0.51,0.18,4901
dqn,TRAIN,19,135.6,2.1,-17.67,0.52,0.17,4904
