model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,126.0,0.0,-56.14,1.60,0.12,287
dqn,TRAIN,1,141.6,0.0,-65.35,1.79,0.14,287
dqn,TRAIN,2,135.6,4.2,-56.09,1.52,0.12,304
dqn,TRAIN,3,124.2,5.1,-47.88,1.45,0.10,290
dqn,TRAIN,4,119.2,7.8,-38.97,1.20,0.09,293
dqn,TRAIN,5,126.4,8.7,-46.63,1.40,0.10,293
dqn,TRAIN,6,115.1,9.4,-37.39,1.13,0.07,295
dqn,TRAIN,7,113.6,9.4,-37.76,1.07,0.08,303
dqn,TRAIN,8,118.2,9.4,-40.11,1.12,0.09,301
dqn,TRAIN,9,113.5,9.6,-37.67,1.15,0.08,293
dqn,TRAIN,10,117.7,9.6,-42.22,1.21,0.09,300
dqn,TRAIN,11,117.0,10.1,-37.98,1.13,0.08,303
dqn,TRAIN,12,110.7,10.0,-37.43,1.12,0.07,295
dqn,TRAIN,13,110.4,10.1,-40.55,1.20,0.08,291
dqn,TRAIN,14,127.5,10.1,-45.22,1.30,0.08,306
dqn,TRAIN,15,118.5,10.2,-45.73,1.37,0.08,297
dqn,TRAIN,16,111.9,10.3,-39.66,1.17,0.08,294
dqn,TRAIN,17,126.2,10.4,-45.85,1.37,0.08,299
dqn,TRAIN,18,123.3,10.7,-42.41,1.25,0.08,300
dqn,TRAIN,19,112.2,11.0,-37.87,1.08,0.07,306
