model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,217.5,0.0,-69.37,1.93,0.26,252
dqn,TRAIN,1,209.4,0.0,-69.89,1.95,0.26,249
dqn,TRAIN,2,209.4,4.7,-63.82,1.80,0.26,269
dqn,TRAIN,3,197.7,6.6,-61.52,1.82,0.24,264
dqn,TRAIN,4,194.9,10.2,-45.25,1.36,0.22,277
dqn,TRAIN,5,193.0,11.3,-49.99,1.52,0.21,269
dqn,TRAIN,6,177.1,11.4,-48.13,1.42,0.21,267
dqn,TRAIN,7,187.5,11.4,-51.78,1.51,0.21,274
dqn,TRAIN,8,186.2,11.6,-44.67,1.29,0.21,282
dqn,TRAIN,9,177.0,11.1,-43.04,1.24,0.20,280
dqn,TRAIN,10,175.5,11.4,-45.82,1.38,0.21,272
dqn,TRAIN,11,182.0,11.5,-48.17,1.37,0.22,275
dqn,TRAIN,12,184.1,11.2,-47.56,1.38,0.22,278
dqn,TRAIN,13,190.2,11.4,-47.52,1.42,0.21,276
dqn,TRAIN,14,189.3,11.1,-44.24,1.33,0.21,276
dqn,TRAIN,15,176.6,11.0,-46.87,1.41,0.22,267
dqn,TRAIN,16,181.7,11.2,-45.26,1.27,0.20,280
dqn,TRAIN,17,176.8,11.1,-47.00,1.44,0.22,265
dqn,TRAIN,18,190.9,11.2,-70.56,1.98,0.22,253
dqn,TRAIN,19,182.3,11.5,-46.44,1.34,0.20,274
