model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,183.1,0.0,-55.44,1.41,0.26,303
dqn,TRAIN,1,179.5,0.0,-56.94,1.44,0.25,307
dqn,TRAIN,2,169.4,6.9,-62.40,1.57,0.26,286
dqn,TRAIN,3,284.7,6.7,-145.71,4.36,0.36,248
dqn,TRAIN,4,233.8,15.6,-94.82,3.38,0.30,250
dqn,TRAIN,5,197.8,20.8,-69.64,2.45,0.26,255
dqn,TRAIN,6,193.5,20.6,-67.82,2.51,0.25,270
dqn,TRAIN,7,176.6,19.8,-45.04,1.59,0.23,294
dqn,TRAIN,8,172.0,17.8,-41.82,1.38,0.22,309
dqn,TRAIN,9,162.2,15.9,-33.78,1.11,0.21,314
dqn,TRAIN,10,153.0,14.7,-29.98,0.98,0.20,314
dqn,TRAIN,11,154.6,13.6,-32.13,1.04,0.21,308
dqn,TRAIN,12,153.9,12.6,-29.76,0.96,0.20,326
dqn,TRAIN,13,146.2,12.1,-22.88,0.76,0.20,325
dqn,TRAIN,14,145.3,11.4,-24.59,0.79,0.20,322
dqn,TRAIN,15,145.2,10.6,-24.75,0.80,0.19,319
dqn,TRAIN,16,148.3,9.7,-25.06,0.82,0.20,328
dqn,TRAIN,17,144.1,9.1,-24.01,0.76,0.20,320
dqn,TRAIN,18,146.0,7.3,-22.62,0.72,0.19,327
dqn,TRAIN,19,138.1,6.3,-20.09,0.59,0.18,328
dqn,TRAIN,20,141.6,5.6,-21.55,0.67,0.19,323
dqn,TRAIN,21,136.4,4.7,-18.63,0.56,0.18,333
dqn,TRAIN,22,135.3,4.1,-15.83,0.47,0.18,326
dqn,TRAIN,23,136.1,3.6,-18.10,0.54,0.18,329
dqn,TRAIN,24,136.5,3.3,-17.86,0.54,0.18,328
dqn,TRAIN,25,135.9,3.1,-17.59,0.52,0.18,328
dqn,TRAIN,26,138.2,2.9,-19.07,0.55,0.18,328
dqn,TRAIN,27,135.7,2.7,-18.83,0.53,0.18,323
dqn,TRAIN,28,139.0,2.7,-17.35,0.53,0.18,332
dqn,TRAIN,29,134.0,2.7,-16.44,0.48,0.18,328
dqn,TRAIN,30,132.5,2.5,-15.00,0.43,0.17,331
dqn,TRAIN,31,132.5,2.4,-16.75,0.49,0.18,327
dqn,TRAIN,32,133.0,2.3,-15.20,0.45,0.17,330
dqn,TRAIN,33,133.0,2.2,-16.62,0.47,0.18,332
dqn,TRAIN,34,132.8,2.3,-17.23,0.50,0.18,333
dqn,TRAIN,35,132.9,2.1,-15.23,0.43,0.18,331
dqn,TRAIN,36,130.0,2.1,-15.58,0.45,0.18,325
dqn,TRAIN,37,132.2,2.1,-15.61,0.44,0.18,327
dqn,TRAIN,38,132.1,2.1,-15.47,0.44,0.18,332
dqn,TRAIN,39,131.1,2.0,-15.76,0.46,0.17,326
dqn,TRAIN,40,133.6,2.0,-17.47,0.51,0.18,327
dqn,TRAIN,41,132.4,1.9,-15.18,0.44,0.17,327
dqn,TRAIN,42,132.9,1.9,-15.81,0.45,0.18,331
dqn,TRAIN,43,134.3,1.9,-18.84,0.54,0.18,328
dqn,TRAIN,44,134.1,1.9,-18.14,0.53,0.18,327
dqn,TRAIN,45,133.8,2.0,-16.50,0.48,0.17,331
dqn,TRAIN,46,135.0,2.0,-16.32,0.47,0.17,332
dqn,TRAIN,47,130.9,2.1,-14.89,0.43,0.18,325
