model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,139.8,0.0,-46.13,1.19,0.18,318
dqn,TRAIN,1,147.4,0.0,-54.45,1.37,0.19,328
dqn,TRAIN,2,129.6,3.3,-38.37,1.02,0.17,331
dqn,TRAIN,3,114.3,3.5,-19.87,0.67,0.12,334
dqn,TRAIN,4,105.5,3.7,-13.03,0.41,0.11,342
dqn,TRAIN,5,106.2,3.5,-15.40,0.50,0.11,338
dqn,TRAIN,6,105.5,3.3,-13.11,0.40,0.11,340
dqn,TRAIN,7,108.2,3.0,-15.45,0.47,0.12,340
dqn,TRAIN,8,100.8,2.9,-12.37,0.39,0.10,336
dqn,TRAIN,9,103.5,2.8,-14.58,0.44,0.11,337
dqn,TRAIN,10,102.2,2.7,-12.41,0.36,0.10,342
dqn,TRAIN,11,102.4,2.6,-12.05,0.37,0.11,336
dqn,TRAIN,12,105.9,2.6,-15.05,0.45,0.12,338
dqn,TRAIN,13,104.7,2.5,-14.08,0.43,0.11,342
dqn,TRAIN,14,102.6,2.4,-14.41,0.43,0.11,336
dqn,TRAIN,15,105.8,2.4,-14.47,0.44,0.11,342
dqn,TRAIN,16,101.9,2.2,-12.75,0.38,0.11,340
dqn,TRAIN,17,99.5,2.1,-12.40,0.36,0.10,342
dqn,TRAIN,18,103.6,2.0,-12.98,0.39,0.11,340
dqn,TRAIN,19,102.1,1.9,-12.04,0.37,0.11,343
