model_name,mode,episode,travel_time,q_loss,reward,queue,delay,throughoutput
dqn,TRAIN,0,185.9,0.0,-70.57,1.95,0.21,275
dqn,TRAIN,1,172.5,0.0,-59.76,1.63,0.20,276
dqn,TRAIN,2,174.1,4.6,-59.83,1.66,0.19,281
dqn,TRAIN,3,163.8,6.4,-51.02,1.46,0.17,285
dqn,TRAIN,4,148.7,9.4,-47.49,1.38,0.16,278
dqn,TRAIN,5,154.5,10.6,-41.82,1.22,0.15,293
dqn,TRAIN,6,149.2,10.8,-39.74,1.27,0.14,288
dqn,TRAIN,7,148.7,10.7,-43.99,1.31,0.15,287
dqn,TRAIN,8,152.4,10.6,-43.85,1.28,0.15,286
dqn,TRAIN,9,155.4,10.6,-44.08,1.30,0.15,286
dqn,TRAIN,10,160.6,10.4,-48.91,1.37,0.15,286
dqn,TRAIN,11,153.8,10.9,-43.36,1.31,0.15,290
dqn,TRAIN,12,148.2,11.0,-42.30,1.25,0.15,283
dqn,TRAIN,13,146.6,10.6,-37.45,1.10,0.14,287
dqn,TRAIN,14,139.4,10.6,-34.36,1.06,0.14,286
dqn,TRAIN,15,154.4,10.2,-43.12,1.25,0.15,286
dqn,TRAIN,16,154.7,10.2,-43.75,1.22,0.15,292
dqn,TRAIN,17,146.5,10.6,-49.45,1.44,0.15,283
dqn,TRAIN,18,143.1,10.7,-35.32,1.10,0.14,284
dqn,TRAIN,19,161.8,10.4,-47.80,1.36,0.16,288
