model_name,case,initial_travel_time,optimum_travel_time,recovery_time,initial_drop
dqn,init_HDV_case1,179.5,126.4,23,29.58
dqn,HDV_case1,180.1,130.8,5,27.37
dqn,HDV_case2,209.4,175.5,7,16.19
dqn,HDV_case3,183.5,130.1,5,29.1
dqn,HDV_case4,207.6,144.0,8,30.64
dqn,HDV_case5,176.6,131.6,5,25.48
dqn,HDV_case6,136.0,133.9,1,1.54
dqn,CAV_case1,96.9,68.3,6,29.51
dqn,CAV_case2,141.6,110.4,8,22.03
dqn,CAV_case3,89.9,68.6,5,23.69
dqn,CAV_case4,111.1,73.0,6,34.29
dqn,CAV_case5,97.7,75.4,6,22.82
dqn,CAV_case6,68.3,68.1,1,0.29
dqn,mix_case1,147.4,99.5,6,32.5
dqn,mix_case2,172.5,139.4,8,19.19
dqn,mix_case3,134.2,98.4,6,26.68
dqn,mix_case4,166.6,110.4,6,33.73
dqn,mix_case5,143.0,103.6,6,27.55
dqn,mix_case6,105.1,103.1,1,1.9
